timestamp,ciclo,voltaje_objetivo,voltaje_medido,voltaje_opc_ch0,voltaje_opc_ch1,voltaje_opc_ch2,voltaje_opc_ch3,voltaje_opc_ch4,voltaje_opc_ch5,voltaje_opc_ch6,voltaje_opc_ch7,voltaje_opc_ch8,voltaje_opc_ch9,voltaje_opc_ch10,voltaje_opc_ch11,voltaje_opc_ch12,voltaje_opc_ch13,voltaje_opc_ch14,voltaje_opc_ch15,voltaje_opc_ch16,voltaje_opc_ch17,voltaje_opc_ch18,voltaje_opc_ch19,voltaje_opc_ch20,voltaje_opc_ch21,voltaje_opc_ch22,voltaje_opc_ch23,voltaje_opc_ch24,voltaje_opc_ch25,voltaje_opc_ch26,voltaje_opc_ch27,voltaje_opc_ch28,voltaje_opc_ch29,voltaje_opc_ch30,voltaje_opc_ch31,voltaje_opc_ch32,voltaje_opc_ch33,voltaje_opc_ch34,voltaje_opc_ch35,voltaje_opc_ch36,voltaje_opc_ch37,voltaje_opc_ch38,voltaje_opc_ch39,voltaje_opc_ch40,voltaje_opc_ch41,voltaje_opc_ch42,voltaje_opc_ch43,voltaje_opc_ch44,voltaje_opc_ch45,voltaje_opc_ch46,voltaje_opc_ch47
05-19:04:08.207,1,1.43,1430805.68,1431486,1431601,1431639,1431601,1431524,1431448,1431410,1431486,1431410,1431601,1431563,1431410,1431524,1431563,1431524,1431524,1431830,1431791,1431791,1431715,1431791,1431791,1431830,1431715,1431715,1431753,1431715,1431830,1431639,1431715,1431753,1431791,1431601,1431601,1431753,1431563,1431601,1431563,1431601,1431830,1431486,1431715,1431601,1431563,1431677,1431677,1431715,1431563
05-19:04:16.195,2,1.43,1431055.06,1431601,1431677,1431677,1431524,1431639,1431791,1431677,1431448,1431677,1431524,1431639,1431601,1431563,1431639,1431639,1431715,1431677,1431677,1431830,1431868,1431982,1431753,1431715,1431791,1431830,1431791,1431753,1431906,1431906,1431791,1431868,1432020,1431715,1431677,1431639,1431677,1431677,1431677,1431677,1431639,1431563,1431753,1431677,1431601,1431715,1431753,1431753,1431639
