Timestamp,Voltaje Fuente (µV),Voltaje Medido (µV),Canal,Voltaje OPC Canal (µV)
16-13:00:01.048,199934.28618367016,200356.37900000002,31,200617000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,32,200427000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,33,200465000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,34,200617000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,35,200579000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,36,200617000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,37,200503000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,38,200617000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,39,200617000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,40,200503000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,41,200503000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,42,200465000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,43,200465000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,44,200656000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,45,200541000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,46,200503000000.0
16-13:00:08.191,774930.1790701495,776600.48,0,776951000000.0
16-13:00:08.191,774930.1790701495,776600.48,1,776951000000.0
16-13:00:08.191,774930.1790701495,776600.48,2,776989000000.0
16-13:00:08.191,774930.1790701495,776600.48,3,777027000000.0
16-13:00:08.191,774930.1790701495,776600.48,4,776912000000.0
16-13:00:08.191,774930.1790701495,776600.48,5,776912000000.0
16-13:00:08.191,774930.1790701495,776600.48,6,776912000000.0
16-13:00:08.191,774930.1790701495,776600.48,7,776951000000.0
16-13:00:08.191,774930.1790701495,776600.48,8,776912000000.0
16-13:00:08.191,774930.1790701495,776600.48,9,776989000000.0
16-13:00:08.191,774930.1790701495,776600.48,10,776912000000.0
16-13:00:08.191,774930.1790701495,776600.48,11,776989000000.0
16-13:00:08.191,774930.1790701495,776600.48,12,776951000000.0
16-13:00:08.191,774930.1790701495,776600.48,13,776951000000.0
16-13:00:08.191,774930.1790701495,776600.48,14,776989000000.0
16-13:00:08.191,774930.1790701495,776600.48,15,777027000000.0
16-13:00:08.191,774930.1790701495,776600.48,16,777141000000.0
16-13:00:08.191,774930.1790701495,776600.48,17,777179000000.0
16-13:00:08.191,774930.1790701495,776600.48,18,777103000000.0
16-13:00:08.191,774930.1790701495,776600.48,19,777065000000.0
16-13:00:08.191,774930.1790701495,776600.48,20,777103000000.0
16-13:00:08.191,774930.1790701495,776600.48,21,777103000000.0
16-13:00:08.191,774930.1790701495,776600.48,22,777103000000.0
16-13:00:08.191,774930.1790701495,776600.48,23,777103000000.0
16-13:00:08.191,774930.1790701495,776600.48,24,777218000000.0
16-13:00:08.191,774930.1790701495,776600.48,25,777218000000.0
16-13:00:08.191,774930.1790701495,776600.48,26,777218000000.0
16-13:00:08.191,774930.1790701495,776600.48,27,777179000000.0
16-13:00:08.191,774930.1790701495,776600.48,28,777103000000.0
16-13:00:08.191,774930.1790701495,776600.48,29,777179000000.0
16-13:00:08.191,774930.1790701495,776600.48,30,777141000000.0
16-13:00:08.191,774930.1790701495,776600.48,31,777141000000.0
16-13:00:08.191,774930.1790701495,776600.48,32,777027000000.0
16-13:00:08.191,774930.1790701495,776600.48,33,776989000000.0
16-13:00:08.191,774930.1790701495,776600.48,34,776989000000.0
16-13:00:08.191,774930.1790701495,776600.48,35,777103000000.0
16-13:00:08.191,774930.1790701495,776600.48,36,776874000000.0
16-13:00:08.191,774930.1790701495,776600.48,37,776989000000.0
16-13:00:08.191,774930.1790701495,776600.48,38,776912000000.0
16-13:00:08.191,774930.1790701495,776600.48,39,776951000000.0
16-13:00:08.191,774930.1790701495,776600.48,40,777103000000.0
16-13:00:08.191,774930.1790701495,776600.48,41,776874000000.0
16-13:00:08.191,774930.1790701495,776600.48,42,776989000000.0
16-13:00:08.191,774930.1790701495,776600.48,43,776989000000.0
16-13:00:08.191,774930.1790701495,776600.48,44,776874000000.0
16-13:00:08.191,774930.1790701495,776600.48,45,776989000000.0
16-13:00:08.191,774930.1790701495,776600.48,46,777027000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,0,1351415000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,1,1351415000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,2,1351415000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,3,1351453000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,4,1351415000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,5,1351453000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,6,1351491000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,7,1351415000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,8,1351376000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,9,1351338000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,10,1351491000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,11,1351491000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,12,1351453000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,13,1351491000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,14,1351453000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,15,1351453000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,16,1351643000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,17,1351643000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,18,1351643000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,19,1351643000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,20,1351682000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,21,1351682000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,22,1351605000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,23,1351682000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,24,1351415000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,25,1351720000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,26,1351605000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,27,1351682000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,28,1351643000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,29,1351643000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,30,1351643000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,31,1351605000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,32,1351567000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,33,1351491000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,34,1351529000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,35,1351529000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,36,1351453000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,37,1351529000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,38,1351453000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,39,1351567000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,40,1351453000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,41,1351300000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,42,1351453000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,43,1351415000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,44,1351491000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,45,1351491000000.0
16-13:00:15.103,1349926.0719566292,1350816.01,46,1351529000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,0,1925955000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,1,1925955000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,2,1925955000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,3,1925955000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,4,1925993000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,5,1926031000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,6,1925955000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,7,1925917000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,8,1925917000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,9,1925955000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,10,1925917000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,11,1925955000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,12,1926031000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,13,1925955000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,14,1926031000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,15,1925993000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,16,1926260000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,17,1926146000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,18,1926184000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,19,1926184000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,20,1926184000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,21,1926222000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,22,1926184000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,23,1926146000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,24,1926260000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,25,1926107000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,26,1926222000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,27,1926184000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,28,1926222000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,29,1926146000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,30,1926107000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,31,1926146000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,32,1925955000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,33,1926031000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,34,1926069000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,35,1925993000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,36,1925993000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,37,1926031000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,38,1926031000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,39,1926107000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,40,1926069000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,41,1925955000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,42,1926069000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,43,1925993000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,44,1925917000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,45,1925993000000.0
16-13:00:22.090,1924921.9648431083,1925052.76,46,1926031000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,0,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,1,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,2,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,3,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,4,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,5,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,6,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,7,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,8,2500000000000.0
